sequencing information of APGp1 individuals,,,,,,,,,,,,,
PopulationID,Population,Family ID,Offspring ID,HiFi platform,HiFi cov. (¡Á),HiFi N50 (Kbp),ONT platform,ONT flow cell version,ONT cov. (¡Á),ONT N50 (Kbp),UL-ONT cov. (¡Á),UL-ONT N50 (Kbp),Note
CHA-E,"Han, East China",C001-CHA-E01,C001-CHA-E01-01,PacBio Sequel II,43.9 ,17.7 ,PromethION,R9.4.1,107.0 ,105 ,53.7 ,179,
CHA-E,"Han, East China",C002-CHA-E02,C002-CHA-E02-01,PacBio Sequel II,56.4 ,17.5 ,PromethION,R9.4.1,98.7 ,117 ,55.3 ,197,
CHA-E,"Han, East China",C003-CHA-E03,C003-CHA-E03-01,PacBio Sequel II,50.7 ,16.0 ,PromethION,R9.4.1,122.7 ,101 ,61.7 ,172,
CHA-E,"Han, East China",C004-CHA-E04,C004-CHA-E04-01,PacBio Sequel II,49.3 ,15.9 ,PromethION,R9.4.1,147.0 ,85 ,63.3 ,165,
CHA-E,"Han, East China",C005-CHA-E05,C005-CHA-E05-01,PacBio Sequel II,49.8 ,18.4 ,PromethION,R9.4.1,120.7 ,104 ,62.3 ,170,
CHA-E,"Han, East China",C006-CHA-E06,C006-CHA-E06-01,PacBio Sequel II,50.6 ,16.2 ,PromethION,R9.4.1,151.0 ,85 ,62.3 ,149,
CHA-E,"Han, East China",C007-CHA-E07,C007-CHA-E07-01,PacBio Sequel II,45.1 ,17.3 ,PromethION,R9.4.1,159.3 ,80 ,62.0 ,160,
CHA-E,"Han, East China",C008-CHA-E08,C008-CHA-E08-01,PacBio Sequel II,48.5 ,16.8 ,PromethION,R9.4.1,140.7 ,85 ,63.7 ,167,
CHA-E,"Han, East China",C009-CHA-E09,C009-CHA-E09-01,PacBio Sequel II,46.8 ,18.3 ,PromethION,R9.4.1,143.3 ,78 ,56.3 ,160,
CHA-E,"Han, East China",C010-CHA-E10,C010-CHA-E10-01,PacBio Sequel II,54.5 ,17.0 ,PromethION,R9.4.1,127.7 ,79 ,50.3 ,157,
CHA-E,"Han, East China",C011-CHA-E11,C011-CHA-E11-01,PacBio Sequel II,51.7 ,16.3 ,PromethION,R9.4.1,131.2 ,88 ,41.7 ,170,
CHA-E,"Han, East China",C012-CHA-E12,C012-CHA-E12-01,PacBio Sequel II,48.4 ,16.3 ,PromethION,R9.4.1,103.2 ,90 ,88.7 ,166,
CHA-E,"Han, East China",C013-CHA-E13,C013-CHA-E13-01,PacBio Sequel II,47.3 ,15.7 ,PromethION,R9.4.1,104.2 ,87 ,45.3 ,160,
CHA-E,"Han, East China",C014-CHA-E14,C014-CHA-E14-01,PacBio Sequel II,52.2 ,17.9 ,PromethION,R9.4.1,103.7 ,115 ,57.7 ,191,
CHA-E,"Han, East China",C015-CHA-E15,C015-CHA-E15-01,PacBio Sequel II,51.6 ,16.6 ,PromethION,R9.4.1,91.7 ,110 ,48.7 ,188,
CHA-E,"Han, East China",C016-CHA-E16,C016-CHA-E16-01,PacBio Sequel II,54.5 ,17.9 ,PromethION,R9.4.1,120.3 ,100 ,60.0 ,176,
